Year,Crop production index,Land under cereal production (km2),Arable land (km2),Livestock production index,Soybeans Area harvested (km2),Oil palm fruit Area harvested (km2),Land under perm. meadows and pastures,Agricultural land (km2),Land area (km2),Forest area (km2)
1990,41.02,185124.0,473400.0,35.82,114873.0,330.0,1784440.0,2349000.0,8358140.0,5888980.0
1991,41.61,198211.26,462260.0,39.13,96166.5,693.16,1782952.0,2334802.0,8358140.0,5851170.6
1992,44.27,205641.17,451130.0,41.12,94413.9,809.32,1781464.0,2320604.0,8358140.0,5813361.2
1993,44.05,182937.07,439990.0,42.51,106353.3,697.14,1779976.0,2306406.0,8358140.0,5775551.8
1994,47.62,200639.35,428860.0,44.99,115254.1,673.88,1778488.0,2292208.0,8358140.0,5737742.4
1995,48.73,197528.37,425630.0,49.56,116750.05,680.03,1777000.0,2278050.0,8358140.0,5699933.0
1996,46.18,175197.08,431400.0,52.94,102994.7,729.29,1768507.0,2279087.0,8358140.0,5662123.6
1997,49.56,177946.86,437170.0,53.11,114864.78,803.45,1760014.0,2280124.0,8358140.0,5624314.2
1998,50.24,157888.68,442940.0,54.02,133036.56,790.21,1751521.0,2281161.0,8358140.0,5586504.8
1999,53.34,174351.14,448710.0,58.64,130614.1,777.73,1743028.0,2282198.0,8358140.0,5548695.4
2000,54.11,176017.18,454480.0,61.25,136567.71,818.81,1734535.0,2283235.0,8358140.0,5510886.0
2001,57.01,181486.7,460250.0,63.48,139850.99,846.36,1726042.0,2284272.0,8358140.0,5471378.1
2002,61.22,178834.26,466020.0,67.57,163594.41,783.63,1717549.0,2285309.0,8358140.0,5431870.2
2003,66.75,199252.61,471790.0,70.44,185247.68,858.89,1709056.0,2286346.0,8358140.0,5392362.3
2004,68.28,204204.82,477560.0,75.7,215389.9,875.42,1700563.0,2287383.0,8358140.0,5352854.4
2005,67.38,193130.05,483330.0,77.95,229488.74,879.25,1692070.0,2288420.0,8358140.0,5313346.5
2006,71.64,184235.82,489140.0,81.17,220473.48,965.09,1683580.0,2289510.0,8358140.0,5273838.6
2007,77.17,195437.7,495370.0,84.81,205652.79,1020.42,1688128.0,2296718.0,8358140.0,5234330.7
2008,84.13,208144.08,501590.0,87.47,212463.02,1031.58,1692676.0,2303926.0,8358140.0,5194822.8
2009,82.58,200775.16,507820.0,87.19,217504.68,1039.04,1697224.0,2311134.0,8358140.0,5155314.9
2010,88.36,186012.05,514050.0,90.63,233272.96,1064.2,1701772.0,2318342.0,8358140.0,5115807.0
2011,92.8,192164.41,520270.0,92.66,239686.63,1090.8,1706320.0,2325550.0,8358140.0,5100415.2
2012,89.81,196112.26,526500.0,94.25,249752.58,1131.35,1710868.0,2332758.0,8358140.0,5085023.4
2013,97.82,209061.33,532720.0,97.93,279066.75,1086.35,1715416.0,2339966.0,8358140.0,5069631.6
2014,98.7,218519.34,538950.0,99.89,302737.63,1265.59,1719964.0,2347174.0,8358140.0,5054239.8
2015,102.68,212037.47,545180.0,100.21,321812.43,1400.82,1724512.0,2354382.0,8358140.0,5038848.0
2016,98.62,201285.17,551400.0,99.9,331831.19,1355.46,1729060.0,2361590.0,8358140.0,5020821.0
2017,109.68,226469.62,557620.0,102.42,339598.79,1112.33,1733608.0,2368786.0,8358140.0,5000916.0
2018,109.1,214459.3,557620.0,106.5,347716.9,1090.44,1733608.01,2368788.01,8358140.0,4990514.0